"dia_da_semana","hora_do_dia","pedidos"
"Domingo",5,"158"
"Domingo",6,"303"
"Domingo",7,"552"
"Domingo",8,"2472"
"Domingo",9,"3378"
"Domingo",10,"2535"
"Domingo",11,"1887"
"Domingo",12,"1156"
"Domingo",13,"903"
"Domingo",14,"999"
"Domingo",15,"2255"
"Domingo",16,"2777"
"Domingo",17,"2301"
"Domingo",18,"1465"
"Domingo",19,"606"
"Domingo",20,"193"
"Domingo",21,"68"
"Domingo",22,"38"
"Domingo",23,"1"
"Segunda",3,"1"
"Segunda",4,"3"
"Segunda",5,"84"
"Segunda",6,"130"
"Segunda",7,"226"
"Segunda",8,"1843"
"Segunda",9,"2524"
"Segunda",10,"1447"
"Segunda",11,"917"
"Segunda",12,"882"
"Segunda",13,"889"
"Segunda",14,"777"
"Segunda",15,"1351"
"Segunda",16,"2011"
"Segunda",17,"1857"
"Segunda",18,"1306"
"Segunda",19,"525"
"Segunda",20,"168"
"Segunda",21,"54"
"Segunda",22,"26"
"Segunda",23,"1"
"Terça",3,"1"
"Terça",4,"5"
"Terça",5,"109"
"Terça",6,"119"
"Terça",7,"239"
"Terça",8,"2235"
"Terça",9,"2729"
"Terça",10,"1672"
"Terça",11,"963"
"Terça",12,"722"
"Terça",13,"980"
"Terça",14,"939"
"Terça",15,"1762"
"Terça",16,"2431"
"Terça",17,"2121"
"Terça",18,"1218"
"Terça",19,"591"
"Terça",20,"185"
"Terça",21,"85"
"Terça",22,"41"
"Quarta",3,"2"
"Quarta",4,"1"
"Quarta",5,"117"
"Quarta",6,"137"
"Quarta",7,"290"
"Quarta",8,"2372"
"Quarta",9,"3002"
"Quarta",10,"1795"
"Quarta",11,"1054"
"Quarta",12,"937"
"Quarta",13,"1013"
"Quarta",14,"1001"
"Quarta",15,"1990"
"Quarta",16,"2733"
"Quarta",17,"2337"
"Quarta",18,"1403"
"Quarta",19,"638"
"Quarta",20,"242"
"Quarta",21,"73"
"Quarta",22,"37"
"Quinta",4,"4"
"Quinta",5,"87"
"Quinta",6,"178"
"Quinta",7,"389"
"Quinta",8,"2440"
"Quinta",9,"3078"
"Quinta",10,"1966"
"Quinta",11,"1284"
"Quinta",12,"1057"
"Quinta",13,"835"
"Quinta",14,"1135"
"Quinta",15,"1554"
"Quinta",16,"2795"
"Quinta",17,"2533"
"Quinta",18,"1809"
"Quinta",19,"853"
"Quinta",20,"330"
"Quinta",21,"131"
"Quinta",22,"61"
"Sexta",5,"88"
"Sexta",6,"188"
"Sexta",7,"415"
"Sexta",8,"2003"
"Sexta",9,"2546"
"Sexta",10,"2273"
"Sexta",11,"1726"
"Sexta",12,"1204"
"Sexta",13,"1219"
"Sexta",14,"1027"
"Sexta",15,"1937"
"Sexta",16,"2671"
"Sexta",17,"2521"
"Sexta",18,"1581"
"Sexta",19,"824"
"Sexta",20,"315"
"Sexta",21,"123"
"Sexta",22,"52"
"Sábado",5,"144"
"Sábado",6,"250"
"Sábado",7,"436"
"Sábado",8,"2368"
"Sábado",9,"3299"
"Sábado",10,"2582"
"Sábado",11,"1813"
"Sábado",12,"1362"
"Sábado",13,"1253"
"Sábado",14,"1324"
"Sábado",15,"2390"
"Sábado",16,"3306"
"Sábado",17,"2884"
"Sábado",18,"1972"
"Sábado",19,"961"
"Sábado",20,"391"
"Sábado",21,"156"
"Sábado",22,"90"
"Sábado",23,"1"
