"dist_km","media_tempo_entrega_min","pedidos"
"0.0","17.6","60"
"1.0","18.4","85"
"2.0","18.3","87"
"3.0","19.3","102"
"4.0","18.9","153"
"5.0","19.7","202"
"6.0","20.0","243"
"7.0","19.0","210"
"8.0","18.1","225"
"9.0","20.9","223"
"10.0","20.5","224"
"11.0","21.3","282"
"12.0","20.3","290"
"13.0","20.0","293"
"14.0","21.1","296"
"15.0","22.5","329"
"16.0","21.3","283"
"17.0","20.9","279"
"18.0","22.3","344"
"19.0","22.5","271"
"20.0","23.1","236"
"21.0","22.0","268"
"22.0","21.6","295"
"23.0","21.7","324"
"24.0","21.4","340"
"25.0","23.5","342"
"26.0","23.1","322"
"27.0","23.7","306"
"28.0","23.2","309"
"29.0","23.5","292"
"30.0","27.1","239"
"31.0","24.1","289"
"32.0","24.2","295"
"33.0","24.4","333"
"34.0","22.7","313"
"35.0","22.0","300"
"36.0","22.9","299"
"37.0","23.6","285"
"38.0","23.4","293"
"39.0","24.3","308"
"40.0","26.7","182"
"41.0","23.1","271"
"42.0","24.6","293"
"43.0","22.9","261"
"44.0","24.5","262"
"45.0","22.7","269"
"46.0","24.6","284"
"47.0","24.5","262"
"48.0","23.7","281"
"49.0","23.5","288"
"50.0","25.2","135"
"51.0","23.7","313"
"52.0","23.8","283"
"53.0","22.9","278"
"54.0","23.9","295"
"55.0","23.7","282"
"56.0","22.9","250"
"57.0","23.3","326"
"58.0","24.0","317"
"59.0","22.4","262"
"60.0","29.1","111"
"61.0","23.6","297"
"62.0","24.5","267"
"63.0","23.7","285"
"64.0","23.8","291"
"65.0","23.0","301"
"66.0","23.7","309"
"67.0","24.1","290"
"68.0","23.0","267"
"69.0","23.6","279"
"70.0","31.8","97"
"71.0","23.2","303"
"72.0","23.5","299"
"73.0","24.3","271"
"74.0","25.0","282"
"75.0","23.6","294"
"76.0","22.7","327"
"77.0","23.1","308"
"78.0","23.0","259"
"79.0","24.6","293"
"80.0","31.5","89"
"81.0","26.7","247"
"82.0","24.4","293"
"83.0","23.3","288"
"84.0","23.6","310"
"85.0","23.9","306"
"86.0","22.5","278"
"87.0","23.4","264"
"88.0","23.8","300"
"89.0","24.6","283"
"90.0","31.6","71"
"91.0","23.5","314"
"92.0","23.5","316"
"93.0","22.9","322"
"94.0","23.3","287"
"95.0","24.2","264"
"96.0","25.2","269"
"97.0","23.9","268"
"98.0","23.6","274"
"99.0","23.3","264"
"100.0","33.9","48"
"101.0","23.7","278"
"102.0","23.9","244"
"103.0","22.7","239"
"104.0","22.9","300"
"105.0","23.1","258"
"106.0","24.8","283"
"107.0","22.3","286"
"108.0","23.3","247"
"109.0","23.8","269"
"110.0","34.6","26"
"111.0","21.2","294"
"112.0","22.9","301"
"113.0","22.2","219"
"114.0","21.8","273"
"115.0","22.4","312"
"116.0","21.4","267"
"117.0","22.1","277"
"118.0","21.5","283"
"119.0","21.3","241"
"120.0","44.5","13"
"121.0","22.3","249"
"122.0","22.1","251"
"123.0","22.3","249"
"124.0","22.7","284"
"125.0","22.1","241"
"126.0","22.3","235"
"127.0","20.0","259"
"128.0","22.6","254"
"129.0","21.4","232"
"130.0","40.5","10"
"131.0","22.4","239"
"132.0","22.1","239"
"133.0","21.6","256"
"134.0","20.9","237"
"135.0","22.7","287"
"136.0","21.1","246"
"137.0","21.9","216"
"138.0","22.4","253"
"139.0","24.4","299"
"140.0","36.8","2"
"141.0","22.1","301"
"142.0","21.5","255"
"143.0","22.0","247"
"144.0","23.7","252"
"145.0","22.9","297"
"146.0","21.7","258"
"147.0","23.2","258"
"148.0","22.6","231"
"149.0","21.1","258"
"150.0","60.8","1"
"151.0","23.1","291"
"152.0","22.1","234"
"153.0","21.1","254"
"154.0","22.0","302"
